PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,26.0,76,63,13,0.829,2597.63,860,1656,0.519,163,435,0.375,601,669,0.898,67,312,379,486,183,131,77,77,164,467,2484,918,4108.8,6,0,3928.0,51,2,157,23,18,1,1,93,45,44,155,1,2,44,133,61,74,11,27,2,24,561,511,2,1,1,2,93,44,2
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,79,48,31,0.608,2871.0583333333334,721,1612,0.447,320,811,0.395,415,496,0.837,61,389,450,359,249,91,51,55,150,343,2177,291,3432.5,7,0,3590.0,23,30,395,160,3,4,2,288,1,1,104,6,5,126,150,29,47,38,5,28,56,523,480,10,2,46,6,87,44,3
203999,Nikola Jokić,Nikola,1610612743,DEN,30.0,70,46,24,0.657,2570.765,786,1364,0.576,138,331,0.417,361,451,0.8,200,692,892,716,230,127,45,63,160,410,2071,594,4501.4,59,34,4161.0,118,45,291,93,22,3,9,52,76,99,46,10,7,212,13,4,4,2,7,4,70,540,505,4,3,2,1,2,1,1
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,30.0,67,40,27,0.597,2288.63,793,1319,0.601,14,63,0.222,436,707,0.617,147,651,798,433,206,58,78,76,155,507,2036,334,3845.1,55,11,3553.0,147,89,334,177,44,2,11,39,369,335,463,4,1,477,34,5,6,16,12,127,23,559,496,1,4,28,3,5,2,4
1628369,Jayson Tatum,Jayson,1610612738,BOS,27.0,72,53,19,0.736,2623.8166666666666,662,1465,0.452,250,728,0.343,358,440,0.814,48,575,623,431,209,76,38,56,157,307,1932,534,3459.1,31,2,3464.0,95,17,226,60,14,6,3,272,7,4,266,11,10,184,202,8,17,17,9,56,94,526,498,16,5,7,5,18,15,6
1626164,Devin Booker,Devin,1610612756,PHX,28.0,75,35,40,0.467,2794.9666666666667,654,1420,0.461,183,551,0.332,432,483,0.894,76,229,305,529,220,67,16,62,198,404,1923,-177,3111.5,16,0,3106.0,59,149,503,319,4,7,6,239,26,17,307,5,6,49,110,115,119,8,8,92,242,538,552,7,6,507,14,35,44,11
1629027,Trae Young,Trae,1610612737,ATL,26.0,76,36,40,0.474,2739.06,566,1376,0.411,218,642,0.34,491,561,0.875,36,200,236,880,355,91,12,66,145,430,1841,34,3398.2,51,0,3381.0,51,136,503,309,7,22,8,414,13,9,280,3,4,76,269,150,186,1,1,28,295,546,469,3,7,167,7,6,44,7
1629639,Tyler Herro,Tyler,1610612748,MIA,25.0,77,37,40,0.481,2725.08,651,1378,0.472,251,670,0.375,287,327,0.878,35,364,399,424,198,69,17,75,85,227,1840,99,3014.8,9,0,3086.0,43,124,503,307,8,8,7,204,6,6,156,22,30,73,273,36,66,19,18,83,225,555,307,47,8,112,17,71,44,12
1630595,Cade Cunningham,Cade,1610612765,DET,23.0,70,38,32,0.543,2451.9466666666667,684,1457,0.469,149,418,0.356,313,370,0.846,56,369,425,638,309,71,53,100,195,279,1830,175,3360.0,31,9,3290.0,118,110,413,236,29,5,4,212,61,50,219,15,19,115,166,33,56,5,3,73,52,568,550,23,9,78,9,18,5,8
201935,James Harden,James,1610612746,LAC,35.0,79,50,29,0.633,2789.036666666667,531,1295,0.41,235,668,0.352,505,578,0.874,55,401,456,687,341,118,55,65,162,371,1802,344,3557.7,38,3,3526.0,23,23,362,113,5,30,13,416,9,7,242,2,3,79,173,27,45,3,2,8,48,543,506,8,10,24,4,11,11,5
1626157,Karl-Anthony Towns,Karl-Anthony,1610612752,NYK,29.0,72,46,26,0.639,2516.72,639,1215,0.526,142,338,0.42,339,409,0.829,212,708,920,222,192,71,50,83,249,345,1759,378,3367.0,58,1,3285.0,95,45,315,106,27,10,17,87,68,94,43,12,12,144,12,2,3,88,22,73,59,564,567,9,11,21,8,4,20,9
203897,Zach LaVine,Zach,1610612758,SAC,30.0,74,32,42,0.432,2602.48,625,1223,0.511,239,536,0.446,235,285,0.825,22,293,315,310,208,58,12,48,121,228,1724,-70,2569.0,6,0,2728.0,71,179,517,363,17,11,16,105,8,19,18,40,44,153,349,75,110,59,10,127,295,501,418,46,12,414,40,93,44,23
1630224,Jalen Green,Jalen,1610612745,HOU,23.0,82,52,30,0.634,2697.11,608,1437,0.423,234,661,0.354,273,336,0.813,45,332,377,282,203,71,27,106,127,248,1723,166,2689.4,4,0,2812.0,1,19,383,112,10,14,5,377,11,8,231,28,25,186,218,50,75,67,14,73,150,569,434,38,13,84,29,116,44,20
201939,Stephen Curry,Stephen,1610612744,GSW,37.0,70,41,29,0.586,2252.45,564,1258,0.448,311,784,0.397,279,299,0.933,40,270,310,421,200,80,30,47,95,247,1718,299,2851.5,9,0,2980.0,118,83,362,194,50,24,15,280,3,2,96,25,40,26,244,85,115,21,17,46,132,498,328,39,14,43,19,71,44,13
2544,LeBron James,LeBron,1610612747,LAL,40.0,70,44,26,0.629,2444.4466666666667,651,1270,0.513,149,396,0.376,259,331,0.782,72,474,546,575,260,70,39,51,99,265,1710,-54,3294.7,32,10,3198.0,118,62,315,125,32,8,14,104,61,63,146,33,28,244,119,15,25,7,4,77,88,511,346,29,15,383,10,17,3,10
201942,DeMar DeRozan,DeMar,1610612758,SAC,35.0,77,38,39,0.494,2767.615,624,1308,0.477,84,256,0.328,378,441,0.857,50,248,298,342,105,62,32,57,150,316,1710,110,2757.6,3,0,2622.0,43,110,486,288,6,12,12,187,168,153,314,7,9,95,197,103,121,45,99,106,124,528,480,14,15,106,27,134,44,31
1628378,Donovan Mitchell,Donovan,1610612739,CLE,28.0,71,55,16,0.775,2232.0333333333333,585,1320,0.443,233,633,0.368,298,362,0.823,57,265,322,354,149,95,17,50,140,278,1701,522,2805.4,6,0,2834.0,108,11,189,49,54,19,10,303,12,10,180,19,22,158,165,90,105,40,50,23,225,506,462,24,17,8,25,93,44,18
1628973,Jalen Brunson,Jalen,1610612752,NYK,28.0,65,40,25,0.615,2300.7083333333335,585,1200,0.488,152,397,0.383,368,448,0.821,27,160,187,475,164,60,8,50,138,410,1690,146,2666.9,14,0,2640.0,162,89,300,144,40,19,19,158,60,61,129,8,8,163,313,221,243,12,39,119,361,506,456,4,18,92,32,40,44,28
